pid,url,pageTitle,trackName,openDate,area,rideType,length,hoursNet,climb,descent,difficulty,technicalDifficulty,singleTrack,circular,beginners,fullMoonOk,startPoint,milestones,attraction,season,descriptionText,gpxUrl,gpxLocalPath,openerName
2550,https://www.groopy.co.il/tracks.aspx,גרופי – מסלולי טיולי אופניים,,,,,,,,,,,,,,,,,,,,,,
2549,https://www.groopy.co.il/trackinfo.aspx?pid=2549,מסלול רכיבת אופניים | מיער הקדושים לעין טייסים,מיער הקדושים לעין טייסים,23/03/2021,ירושלים והסביבה,XC,"34 ק""מ",4.0 שעות,885 מטר,885 מטר,בינוני-קשה,בינוני,כן,כן,לא,לא,חניון יער הקדושים - מערת בני ברית.,,"עינות בוקר. חוות דגי נוי - ""נעים במים"". הר הטייסים. עין טייסים. עין לימון.",מרץ אפריל.,"עונה מומלצת חודש מרץ אפריל. בעונה זו המסלול צבעוני ומריח טוב, והמעיינות מלאים. מטפסים בדרך נוחה כ-4 ק""מ חלקה סלול באספלט עד למפגש עם כביש 395 מול מושב כיסלון. במקום יש צל וספסלים להפסקה. אפשר לדלג את ההפסקה לעוד כ-600 מ' ולעשות אותה בעינות בוקר. הירידה למעיין ברגל את האופניים השארנו סמוך לדרך הראשית. יש להיעזר באמצעי ניווט כדי לא לפספס את השביל למעיין. ממשיכים עם הדרך סמ""ש כחול עד לצומת סמ""ש ירוק. ממשיכים בעלייה תלולה דרומה ופוגשים את כביש 395 מול הכניסה לחוות דגי נוי ""נעים במים"". מומלץ לבקר בחווה - בעל החווה מסביר פנים. המשך רכיבה כ1 ק""מ על הכביש עד הפנייה להר טייסים, מומלץ סיור באתר. שימו לב הרכיבה על הכביש מסוכנת אין שוליים פיתולים ושדה ראיה מוגבל לנהגים. מהר הטייסים ירידה תלולה עד לשביל סמ""ש כחול יורדים אתו דרומה עד לדרך סמ""ש ירוק. הירידה תלולה מאוד עם דרדרת ומדרגות סלע. עולים עם הדרך עד לעין טייסים מקום נעים להפסקה. עולים עם הדרך עוד כ3 ק""מ עד צובה ומשם מתחברים לסינגל עין ראפה עד לעין לימון עוד פינה יפה להפסקה לפני סיום. מעין לימון דוהרים בירידה לאורך נחל כיסלון וסוגרים מעגל בנקודת ההתחלה.",https://www.groopy.co.il/files/maslul/2549gps.gpx,gpx/2549.gpx,giar
2548,https://www.groopy.co.il/trackinfo.aspx?pid=2548,מסלול רכיבת אופניים | אום זוקא משכיות,אום זוקא משכיות,12/03/2021,שומרון ובקעת הירדן,XC,"9 ק""מ",1.0 שעות,,,,,לא,לא,לא,לא,,,,,,https://www.groopy.co.il/files/maslul/2548gps.twl,gpx/2548.gpx,יחזקאל בלומשטיין
2547,https://www.groopy.co.il/trackinfo.aspx?pid=2547,מסלול רכיבת אופניים | אום זוקא,אום זוקא,11/03/2021,שומרון ובקעת הירדן,XC,"20 ק""מ",3.0 שעות,830 מטר,,למתקדמים,בינוני,לא,לא,לא,לא,שדמות מחולה,,,חורף אביב,"שדמות מחולה דרך שמורת הטבע אום זוקא, סיום בחמדת",https://www.groopy.co.il/files/maslul/2547gps.gpx,gpx/2547.gpx,משה10
2546,https://www.groopy.co.il/trackinfo.aspx?pid=2546,מסלול רכיבת אופניים | סינגל גרר - שרשרת,סינגל גרר - שרשרת,10/03/2021,הנגב הצפוני והמערבי,XC,"43 ק""מ",4.0 שעות,546 מטר,546 מטר,בינוני,בינוני,כן,כן,לא,לא,תחנת דלק בכניסה למושב תדהר,חוות בודדים. תל הרור. נקודות תצפית.,,סוף החורף,"סינגל זורם בנוי ומשולט היטב. בעונת החורף חוצים ערוצים זורמים. מומלץ מדי פעם לצאת מהסינגל, לבקר באתרים שבדרך ולרכב בין החלקות המעובדות. מתאים לתקופת סוף החורף שבו השטח ירוק ופורח.",https://www.groopy.co.il/files/maslul/2546gps.gpx,gpx/2546.gpx,giar
2545,https://www.groopy.co.il/trackinfo.aspx?pid=2545,מסלול רכיבת אופניים | גזית ולנחלים תבור וירדן,גזית ולנחלים תבור וירדן,09/03/2021,גליל תחתון והעמקים,XC,"35 ק""מ",4.0 שעות,207 מטר,522 מטר,בינוני,בינוני,לא,לא,לא,לא,גזית מרכז הישוב שלט הכונה לנחל,,,,"טיול שעשינו אתמול. נחל תבור הוא תמיד נהדר ועכשיו הוא ממש מיוחד,הצבעים,הנופים והכל. המון המון מים. והמון חציות הנחל במים(אבל אחרי שהרטבתם רגלים פעם אחת,אח""כ זה כבר לא חשוב)ובבקשה לא ברכיבה המון אבנים גדולות שלא רואים אותם. גזית מרכז הישוב, שלטון הכונה לנחל, חצית כביש 90(ממש סואן), גשר הרכבת הרומי ובין הבריכות עד גדר המערכת שעל הירדן. ודרומה לאורכה עם הפיתולים של הנחל דרך אספלט טובה. יציאה אל כביש 90 ועוד כמה מאות מ'(שול רחב מאד)עד תחנת הדלק דור אלון קצת לפני צומת שאן. המסלול אתם רואים לא מעגלי. הקפצה עצמית עם אופניים, זה קשה וסיפור של שעות. אז שתי אופציות טובות. איגור, טלפון, 0507554974 נהג מונית, אבל יש לו טנדר גדול(פיאט דוקטו)ישן נושן, אבל עשה את העבודה.מקום לחמישה רוכבים(אופניים הרבה יותר), הקפיץ אותנו מתחנת הדלק בצומת שאן עד מרכז גזית. והמחירים שלו מצוינים(שילמנו לו יותר ממה שביקש). אפשרות נוספת: רכבים ואופניים בגזית, בסיום ממשיכים עד תחנת רכבת בית שאן ושימו לב, רכבת אחרונה לאופניים היא בשעה 2:30. ואיתה עד עפולה, מעפולה מונית לנהגים לגזית (רק כמה דקות נסיעה), באפשרות זו אתם מוגבלים בזמן ותצטרכו להתחיל מוקדם את הרכיבה, זה אפשרי מצורף קובץ ניווט הקלטה של מה שעשינו. הערה: לי אמרו שאחרי ארבעה ימים של גשם אפשר לטיל בנחל, לא ספרתי, היו קטעי בוץ שיכולנו להם בלי לשקוע רגלים או גלגלים בבוץ(אבל מעברי מים הרבה,אמרתי כבר)",https://www.groopy.co.il/files/maslul/2545gps.gpx,gpx/2545.gpx,ברקאי
2544,https://www.groopy.co.il/tracks.aspx,גרופי – מסלולי טיולי אופניים,,,,,,,,,,,,,,,,,,,,,,
2543,https://www.groopy.co.il/tracks.aspx,גרופי – מסלולי טיולי אופניים,,,,,,,,,,,,,,,,,,,,,,
2542,https://www.groopy.co.il/trackinfo.aspx?pid=2542,מסלול רכיבת אופניים | הר קידה לעין עוז,הר קידה לעין עוז,05/03/2021,שומרון ובקעת הירדן,XC,"21 ק""מ",3.0 שעות,,,,בינוני,לא,לא,לא,לא,,,,,,https://www.groopy.co.il/files/maslul/2542gps.twl,gpx/2542.gpx,יחזקאל בלומשטיין
2541,https://www.groopy.co.il/trackinfo.aspx?pid=2541,מסלול רכיבת אופניים | SYNT בבקעת הירדן לגשר אום שורט,SYNT בבקעת הירדן לגשר אום שורט,27/02/2021,שומרון ובקעת הירדן,XC,"37 ק""מ",5.0 שעות,370 מטר,,בינוני,קל,כן,לא,לא,לא,מפגש הבקעה,,גשר אום שורט,חטרף אביב,חציית גדר המערכת באגם תרצה והגעה עד גשר אום שורט,https://www.groopy.co.il/files/maslul/2541gps.gpx,gpx/2541.gpx,משה10
