pid,trackName,physics_score_1_10,intensity_density_J_per_km,distance_km,elevation_gain_m_smoothed,W_grav_J,W_roll_J,kinetic_factor,si_p90,si_mean,si_max,si_global,difficulty_groopy,difficulty_technical,gpx_path
2749,שקנאים בויקר,3.589023865462979,37218.225289653106,28.57821512642787,431.84999999999997,359975.1532125,476436.14072829264,1.4769141876253111,1.4769141876253111,1.314758598794231,138.0666449964969,5151.407943770681,קל,,C:\DEV\RYDO\scraper\out_2750-2651\gpx\2749.gpx
2748,עמק מעיינות מורחב עם נוף לירדן,2.3134257584529037,32218.863332770292,54.10820056597351,390.7,325673.94317499996,902054.3146365171,1.57155811245519,1.57155811245519,1.2572757560984085,75.84887467853689,5362.608151200264,בינוני,קל,C:\DEV\RYDO\scraper\out_2750-2651\gpx\2748.gpx
2747,מולדת גן לאומי כוכב הירדן,4.48549206135422,40731.690047451346,29.60682363801772,567.3,472881.56632499996,493584.386950603,1.4851652863599516,1.4851652863599516,1.3908661281082153,212.625072023405,41.39906490037607,בינוני,קל,C:\DEV\RYDO\scraper\out_2750-2651\gpx\2747.gpx
2746,ים המלח אילת,1.42834297241079,28750.020611137243,236.5060967721837,1639.49,1366621.8917225,3942865.27364859,1.3779150156226243,1.3779150156226243,1.2033635534201064,365.55749476435284,1.2960283237841594,בינוני-קשה,בינוני,C:\DEV\RYDO\scraper\out_2750-2651\gpx\2746.gpx
2745,חיפה עתלית הבונים נחשולים דור,2.267436976850155,32038.62273510503,55.33422703598661,248.60000000000002,207224.32115,922493.7758561787,1.6971476059462431,1.6971476059462431,1.358782248032972,127.63390205381756,898.4794147422651,בינוני,בינוני,C:\DEV\RYDO\scraper\out_2750-2651\gpx\2745.gpx
2744,סובב לכיש עם הרבה נופים,4.78775744770668,41916.33751996522,37.511039541161296,612.9000000000005,510892.14172500046,625357.9810577601,1.6973210298071506,1.6973210298071506,1.2443850124488038,56.09181833368661,2254.1497554485754,בינוני,בינוני,C:\DEV\RYDO\scraper\out_2750-2651\gpx\2744.gpx
2743,העוטף הדרומי עם מעבר בנובה,1.5948482128877393,29402.592890985812,59.243901413486704,298.8500000000001,249110.97496250007,987673.149854168,1.5114446917913738,1.5114446917913738,1.277251569209795,116.13370619977391,2524.3344268961305,בינוני,בינוני,C:\DEV\RYDO\scraper\out_2750-2651\gpx\2743.gpx
2742,סיבוב לילה בעמק יזראעל אל חניון הבונקרים,1.0,25188.14976961297,38.80325047542926,183.5,152959.223375,646900.8236672762,1.2744192478752316,1.2744192478752316,1.1689843069390335,178.30719638663382,1139.5157953816292,בינוני,בינוני,C:\DEV\RYDO\scraper\out_2750-2651\gpx\2742.gpx
2741,עמק מעיינות עם מים תמרים דגים וציפורים ונוף על הירדן,3.7328839492320283,37782.0459992924,48.72710904720875,356.0000000000001,296749.2290000001,812344.4966942766,1.9009923163366438,1.9009923163366438,1.589318643591004,115.8763371867971,121.03032955229607,למתקדמים,קל,C:\DEV\RYDO\scraper\out_2750-2651\gpx\2741.gpx
2740,מסלול בייקפאקינג משמר העמק עמק מעיינות וחזרה,2.2926711635840484,32137.52130862675,95.73338842858544,782.3,652098.095075,1596000.5171764186,1.5191321615516138,1.5191321615516138,1.238112061554304,11.239590470125165,11216.533368123592,למתקדמים,בינוני,C:\DEV\RYDO\scraper\out_2750-2651\gpx\2740.gpx
