pid,url,pageTitle,trackName,openDate,area,rideType,length,hoursNet,climb,descent,difficulty,technicalDifficulty,singleTrack,circular,beginners,fullMoonOk,startPoint,milestones,attraction,season,descriptionText,gpxUrl,gpxLocalPath,openerName
2817,https://www.groopy.co.il/trackinfo.aspx?pid=2817,מסלול רכיבת אופניים | דרך החווארים - נאות הכיכר>עידן>נחל אמציה.,דרך החווארים - נאות הכיכר>עידן>נחל אמציה.,24/02/2026,הר הנגב והערבה,XC,"45 ק""מ",5.0 שעות,240 מטר,240 מטר,בינוני-קל,בינוני,לא,כן,לא,לא,הפארק  האקולוגי נאות הכיכר בכניסה/יציאה של נחל אמציה,ראה תיאור,ראה תיאור,חורף לא בזמן שטפונות.,"מנקודת היציאה חוצים את מושב נאות הכיכר ומגיעים לשער סגור, ממתינים לרכב שיעבור והשער ייפתח. דרך שערנכנסים לדרך סלולה לאורך חממות, מטעי דקלים, מקשות אבטיחים בצד המזרחי של הדרך, ומצד מערב מצוקי חוואר מרשימים בפיסול טבעי. בהמשך, הדרך היא דרך עפר לצד ובתוך נחל הערבה - בקטעים מסוימים הדרך היא באמצע נחל הערבה שהוא הגבול עם ירדן, לאורכו ניתן להבחין באבני הגבול. שימו לב! השטחים שבשולי הדרך חשודים במיקוש לכן לא יורדים מהדרך. נחל הערבה מרשים מאוד ונראים בו סימני הזרימה. קצה הדרך במאגר עידן. המאגר נכון ל- 23/02/2026 יבש. מטפסים בעלייה תלולה לתצפית עידן על נחל הערבה ומאגר עידן. במקום יש מוצב תצפית של צהל מול מוצב מקביל ירדני. המשך לכיוון מושה עידן, בדרך עוצרים במרפסת בודי (נ.ג 188), מקום עם הצללה ותצפית דרומית לחממות של עידן וחצבה על גדת נחל הערבה. התצפית ע""ש אהוד (בודי) כהן ממושב עידן, לוחם שלדג שנהרג בבארי ב-7/10/23 . סיור ברחובות של מושב עידן ומפגש שיחה עם חברים מקומיים וההצטיידות במים קרים (קולר ליד הצרכנייה) ובמקום מומלץ להתרעננות. המשך החצי השני של המסלול: יציאה מהמושב לאורך הכביש עוברים עוד נקודת זיכרון לבודי שם מתחיל מסלול הליכה ""דרך החבצלות"". הכביש חוצה את נחל עידן ואח""כ בכניסה לבית העלמין מתחיל המסלול של נחל אמציה. אתון מגיעים עד לסוף המסלול. אחרי כ-1.5 ק""מ מהכניסה למסלול נ. אמציה סוטים מהמסלול עוד כ-1.5 ק""מ להתרשם מהמפל ומיער עצי השטים. ואח""כ חוזרים למסלול שעוקף את המפל. הדרך בערוץ נחל אמציה דרך קשה לרכיבה - רכיבה בתוך חצף, אך את רוב הדרך ניתן לרכוב בשוליים של הערוץ שהם נוחים ומהירים יותר. לאורך הנחל עצי שיטים שמזמינים להפסקת קפה,ונוך של מצוקי חוואר מרשימים. קצה הדרך מסתיימת ליד נקודת ההתחלה..",https://www.groopy.co.il/files/maslul/2817gps.gpx,gpx/2817.gpx,giar
2816,https://www.groopy.co.il/trackinfo.aspx?pid=2816,מסלול רכיבת אופניים | מ הספורט אל נתניה וכל האירוסים בדרך,מ הספורט אל נתניה וכל האירוסים בדרך,16/02/2026,השרון,XC,"33 ק""מ",2.5 שעות,200 מטר,200 מטר,קל,קל,לא,לא,לא,לא,מרכז הספורט רחוב שטרית החניון הצפוני(חינמי),,,,"קובץ ניווט מצורף כאן וגם גלריה עם סיפור דרך, אז לא אוסיף פה כלום.",https://www.groopy.co.il/files/maslul/2816gps.gpx,gpx/2816.gpx,ברקאי
2815,https://www.groopy.co.il/trackinfo.aspx?pid=2815,מסלול רכיבת אופניים | בין שדרות לקרית גת על כל האדום האדום הזה,בין שדרות לקרית גת על כל האדום האדום הזה,12/02/2026,הנגב הצפוני והמערבי,XC,"33 ק""מ",2.4 שעות,360 מטר,320 מטר,בינוני,קל,לא,לא,לא,לא,תחנת רכבת שדרות,,כלניות!!!,עכשיו הפריחה בשיאה,"עם הרכבת של השעה 5:47 מקרית אריה ודרך כל תחנות תל אביב אל שדרות. ומשם על האופניים אל קרית גת. רכבת אחרונה לרוכבים 14:57 ולפניה, כל שעה ו15 דקות. אז יש לכם המון המון זמן. רוב המסלול על שבילים לבנים, וקצת על סינגל דורות(קל מאד). עליות, בין 320 ל420 בהתאם ליישומי הניווט השונים. אפשר כמובן בכיוון ההפוך, קצת פחות עליות. וכדאי מאד להתחשב בכיווני הרוח, לרכב נגד הרוח, לא הכי נחמד. יש לכם הקלטה טובה של המסלול וגלריה עם סיפור דרך, אז אין לי מה להוסיף. כמובן בתקופה זו, פריחת הכלניות האדומות ""דרום אדום"" מאד.",https://www.groopy.co.il/files/maslul/2815gps.gpx,gpx/2815.gpx,ברקאי
2814,https://www.groopy.co.il/trackinfo.aspx?pid=2814,מסלול רכיבת אופניים | כפר יהושע אל עפולה וכל הכלניות שבדרך,כפר יהושע אל עפולה וכל הכלניות שבדרך,03/02/2026,הכרמל ורמות מנשה,0,"28 ק""מ",2.1 שעות,190 מטר,132 מטר,קל,קל,לא,לא,לא,לא,תחנת רכבת כפר יהושע,,,"בפריחת הכלניות, אבל גם כל השנה כשלא נורא חם","מסלול טיול נהדר לראות את פריחת הכלניות, ממש בשיא פריחתם, כל הצבעים והגוונים, רק אדומים כמעט ולא. יש לכם כאן קובץ ניווט טוב(מתוקן מטעויות), גלריה וסיפור דרך. אז רק בקיצור. השבילים בדרך כלל טובים, אבל אחרי כל כך הרבה גשמים שירדו בעמק(תודה לקב""ה), צריך להשתדל(אפשר)לא להיכנס לבוץ(פעם אחת לא נזהרנו וטבלנו רגלים וגלגלים בבוץ). חניון הרכבת. קצת על 7224(שביל/מדרכה), ירידה לקישון, על צידו הצפוני, 5 קמ, מעבר אל צידו הדרומי ועל שביל בטון(כ5 קמ). כפר ברוך, תצפית על המאגר(מלא מלא), משמאל גבעה עם מרבדים גדולים של הכלניות, נהדר, אפשר בזהירות בין הפרחים. היוגב, אוטובוס ירוק, ""פיצה בוס""(פתוח בשעות הערב). עין עדעד, בקייץ אפשר להתרענן במים(אבל בקייץ אין כלניות). יער הכלניות במנחת מגידו, טיול קצר בין השבילים. על שולי(רחב) כביש 65 ו671(בקייץ על שביל לצידם)לתוך עפולה ועל מדרכות עד תחנת עפולה. חזרה עם הרכבת, כל שעה ו45 דקות, רכבת(לאופניים בין השעות 9 עד 3 או אחרי 7).",https://www.groopy.co.il/files/maslul/2814gps.gpx,gpx/2814.gpx,ברקאי
2813,https://www.groopy.co.il/trackinfo.aspx?pid=2813,מסלול רכיבת אופניים | שלוליות חורף נרקיסים ומערות,שלוליות חורף נרקיסים ומערות,15/01/2026,מישור החוף,XC,"21 ק""מ",2.0 שעות,145 מטר,145 מטר,קל,קל,לא,כן,לא,לא,"חניון קניון איילון(3 שעות, שעה וחצי חינם)",,,"כמובן שבתקופת הפריחה, גם אחרי גשם.","מסלול מאד נחמד קל וקרוב לבית(אזהרת שלוליות וחצית נחל!!!). יש לכם הקלטה טובה(עם תיקונים)מהיום(26/01/2026. וגם גלריה עם סיפור דרך וקצת תמונות. אז רק בכמה מילים. פארק הירקון, נמל, חוף תל ברוך, בריכות חורף(לוינסקי). בריכת חורף דרזנר והנרקיסים שם עמק הנרקיסים בגלילות. רוב הדרך על שבילי אופניים(אספלט)או מדרכות. שלוליות בשבילים בשטח, אבל בקל מאד עבירים(בלי להרטיב רגלים). מרבדים גדולים של נרקיסים מרחוק, אבל מוקפים מים, עוד קצת על השביל, בשוליים של העמק, מרבצים יפים של נרקיסים. אל מערות הקבורה(של מי). חציה של נחל אחיה, היום היה מלא מים, קשה לעבור, הצלחתי בלי להחליק למים. קטע קצר של שביל חולי. המעבר מתחת ל20 והרכבת, כל אורכו עם מים(לא בוץ)רדודים, נמוכים מהפדל הנמוך. מערב לבית הקברות קרית שאול, רחוב בני אפרים חניון קניון איילון.",https://www.groopy.co.il/files/maslul/2813gps.gpx,gpx/2813.gpx,ברקאי
2812,https://www.groopy.co.il/trackinfo.aspx?pid=2812,מסלול רכיבת אופניים | יד מרדכי >זיקים,יד מרדכי >זיקים,09/01/2026,מישור החוף,XC,"38 ק""מ",3.0 שעות,100 מטר,100 מטר,,קל,לא,כן,לא,לא,צומת יד מרדכי,ראה תיאור,ראה תיאור,כל השנה,"מסלול מעגלי 38 ק""מ יציאה מצומת יד מרדכי דרומה. חוצים את הכביש הסואן במעבר חציה דרך אנדרטה לזכר הנרצחים בטיול במצריים 1991 משם השביל מזרחה חוצה את נחל שקמה ומתחבר לשביל המוביל דרומה. בחורף הנחל זורם ניתן לעקוף אותו ברכיבה זהירה על הכביש ולא דרך האנדרטה. זוהי דרך המשך ל""שביל האור"" שמתחיל מאזור שדה יואב. שביל טוב מוביל לכביש חקלאי ומשם ניתן לצפות או להגיע לאובליסק של חיל המשלוח המצרי ממלחמת העולם הראשונה. (הקורפוס האפריקאי) חורגים מהמסלול כ-400 מ' דרומה ומבקרים בגשר המסילה התורכית בדיר -סנייד, על נחל שקמה וחוזרים למסלול. המשך בדרך שהיא דרך נוף נחל שקמה שמתחילה משמורת פורה ומסתיימת בשפך לים בחוף זיקים. ליד כרמיה עוזבים את הדרך ורוכבים מערבה אפשר לרכב על הסוללה ורצוי בדרך שמתחתיה (צד צפוני), לאורך הסוללה של מאגר שקמה (חורף 2026) הוא מלא ואפילו גולש מהסכר. הגעה לתחנת השאיבה משם נשארים במתחם ורוכבים דרך פתח צר בשער נעול על סוללת המאגר בין שתי גדרות עד לסכר. מהסכר יורדים לכביש בדרך חולית כ-200מ' וחוזרים לכביש מקומי ומשם לכביש המוביל לחוף זיקים. מחוף זיקים על הכביש/מדרכה לאקו פארק שבדרום אשקלון. פארק עם אגם גדול. ממשיכים במקביל לכביש 4 עם שתי חציות לפני ואחרי מושב מבקיעים, ועשים עצירה בחניון ע""ש אל""מ נביה מרעי. משם בסינגל אל כביש זיקים>צומת זיקים. חוצים את כביש 4 כ-100 מ' צפונה ואח""כ דרומה לאורך מסילת הברזל, עוזבים את המסילה ואז שתי אפשרויות: לחצות את נחל עובד (זורם בחורף אך ניתן לחצייה) לעלות לכביש ולחזור לצומת כ-100מ'. אפשרות שניה להמשיך בשביל לכיוון תחנת הדלק בצומת. סיכויים שיהיה בוצי עקב השקיה או אחרי גשם.",https://www.groopy.co.il/files/maslul/2812gps.gpx,gpx/2812.gpx,giar
2811,https://www.groopy.co.il/trackinfo.aspx?pid=2811,"מסלול רכיבת אופניים | עדולם אחרי הגשם ואפילו אחרי ""ביירון"".","עדולם אחרי הגשם ואפילו אחרי ""ביירון"".",10/12/2025,השפלה,XC,"25 ק""מ",2.5 שעות,370 מטר,470 מטר,בינוני-קשה,קל,לא,לא,לא,לא,"על כביש 367 כ700מ אחרי הכניסה לנוה מיכאל,",,,כל השנה,"מנוה מיכאל עד תל עזקה וחזרה אל תחנת הדלק בצומת האלה. הכל על כבישי אספלט ישנים ושבילי כורכר טובים. מתאים גם בגשם וגם אחרי הגשם, חושב שאפילו אחרי ""ביירון"". דרושה הקפצה בין תחנת הדלק לנווה מיכאל.או על הכביש, רק כביש 367, הוא רע כמעט בלי שול, ממש לא מומלץ. יש לכם הקלטה/קובץ ניווט טוב. וקישור לגלריה וסיפור דרך, אם מעניין אותכם https://www.facebook.com/media/set/?set=a.6943953659005686&type=3 כמובן שאפשר גם לא אחרי גשם כשהאדמה יבשה, אז אפשר להכנס לאתרים שבדרך, כמו היתרי ומדרס. שימו לב"" ההגדרה בינוני קשה, זה לי, עליות(גיל ,אופניים), אבל כל אחד, יגדיר לעצמו.",https://www.groopy.co.il/files/maslul/2811gps.gpx,gpx/2811.gpx,ברקאי
2810,https://www.groopy.co.il/trackinfo.aspx?pid=2810,מסלול רכיבת אופניים | נחל אדוריים,נחל אדוריים,09/12/2025,השפלה,XC,"37 ק""מ",3.0 שעות,370 מטר,370 מטר,בינוני,בינוני,לא,כן,לא,לא,מושב אחוזם,ראה תיאור,ראה תיאור,שבוע אחרי הגשם הראשון המשמעותי עד סוף האביב,"נחל אדוריים מסלול מעגלי 37 ק""מ יציאה ממושב אחוזם. קטעים בדרך, הקרקע עם אבנים ודרדרת רוב הדרך נוחה. יוצאים דרך שער כחול נכון להיום השער והגדר בבנייה כך שהמעבר פתוח (נמצא במצב כזה לפחות שנה). המשך לאורך מסילת הרכבת דרומה עד לגשר נחל אדוריים חוצים מתחתיו את מסילת הרכבת ואת כביש 6. בוחרים בשביל על הגדה הדרומית של הנחל ונשארים בו. הדרך טובה וחלקה אחרי הידוק של אירוע גשם. בדרך באר כלך, אחרי עוד כ-3 ק""מ באר שלום נמצאת על הדרך. באר עמוקה שכנראה מגיעה למי התהום של נחל אדוריים. לאורך הנחל מראה יפה של מחשוף קרטון לבן בוהק על גדת הנחל הצפונית.(ראה אלבום תמונות). עוד שני ק""מ לאורך הנחל סוטים מהמסלול ועולים ברכיבה/ברגל לחורבת בית אמיר בשליש הראשון של המדרון פתח מוסתר מעט של פתח מערת חבס (בערבית כלא) מדרגות יורדות על מערת פעמון מרשימה וממנה מעבר לעוד מערת פעמון שגם בה יש מדרגות שסכנה לעלות בהן לכן חוזרים מהיכן שנכנסים. בפסגת הגבעה עוד פתחי מערות חלקן חסומות בתיל. עוד כ-4 ק""מ לאורך הנחל ומתחת לתל אגרה חוצים את הנחל לגדה הצפונית. השביל נחרש לכן ממשיכים לחצות את השדה החרוש כ-300 מ' ומתחברים להמשך המסלול. בהמשך סוטים מעט מהמסלול לסיור בחוות הסכר שקף. חוזרים למסלול בעלייה קצרה מגיעים לאגם עונתי שנוצר מסכר על נחל אדוריים ושני אירועי גשם בשבועות האחרונים. (הרכיבה בוצעה ב-08/12/2025) המשך בעלייה תלולה צפונה ומערבה דרך גבול שמורת גבעות גד עצירה דרך יפה בעונה אחו ירוק, פרות רועות. עצירה במקום בו הייתה משאבת שבשבת רוח הועברה למושב לכיש, יש שלט הסבר עם תמונה ובסיסי בטון עליו הייתה מוצבת. תחנה הבאה מצפה יקיר מקום להפסקה. אם תפסתם יום חם לפני העלייה למצפה יש חורשת אקליפטוסים נעימה. המצפה צופה על מאגר ענק ""מאגר רמת שריון"" ויש בו עופות מים. המשך המסלול בדרך כבושה היטב (אחרי גשם) ומהירה, חוצים את כביש 6 ואח""כ את מסילת הרכבת, המעבר מתחת למסילה מתמלא בוץ אחרי גשם מומלץ לרכב צפונה כ-600 מ' ולחצות מעל גשר עילי לצד השני. נכנסים למושב דרך אותו שער כחול שבבניה.",https://www.groopy.co.il/files/maslul/2810gps.gpx,gpx/2810.gpx,giar
2809,https://www.groopy.co.il/trackinfo.aspx?pid=2809,מסלול רכיבת אופניים | בית יהושע אל הרקפות באודים ועל החופים והרכבת,בית יהושע אל הרקפות באודים ועל החופים והרכבת,03/12/2025,מישור החוף,XC,"33 ק""מ",2.1 שעות,255 מטר,274 מטר,קל,קל,לא,לא,כן,לא,תחנת רכבת בית יהושע,,,,"זה בטח מסלול שעלה כאן כבר הרבה(גם אני)ועם כל השינויים ושבילי האופניים החדשים כדאי להעלות שוב. יש כאן הקלטה טובה של קובץ המסלול, אז רק תאור כללי. הפעם בחרנו מצפון לדרום(בעיקר בגלל הרוח). עם הרכבת מתחנת האוניברסיטה, או מכל תחנה אחרת בארץ, אחרי השעה 9, אל תחנת בית יהושע(יש המון רכבות). על האופניים. שביל אופניים(אספלט)עד אודים. הנרקיסים בשיא הפריחה(ואחריהם, הרקפות, הכלניות, העיריות). חצית הפולג. שוב על שביל אופניים, קצת שבילי עפר, כביש ישן, כורכר(טובים). קדם ארסוף, עוד מעט פריחת האירוסים, שווה מאד. רשפון. הגשר על 2, עגלת הקפה, חזרה על הגשר, קצת חולות, עכשיו אחרי הגשם הם מצוינים. נוף ים, הרצליה על החופים, תל ברוך, אפשר על טיילת העליות, אנחנו בחרנו לעקוף אותה, נמל, פארק. רובי בתחנת האוניברסיטה, אני אל חניון הספורט/ הוולדרום(עדיין חינמי, מוקדם בבוקר אין סיכוי)והביתה. קובץ מסלול וגם גלריה עם סיפור דרך(רק סיפור), יש לכם כאן. הערה: העליות... מפחיד? כמעט ולא מורגש, זו גירסה הכי מחמירה שלIHM,(סופר גם כשאני עולה על האופניים וגם יורד מהם). קצת תוספות ושינויים, למי שרוצה עוד קצת. מדלג על הקפה ברשפון ומוסיף שמורת סידני עלי וסינגל השגריר, זה אולי עוד קמ אחד. מחליף את קובץ הניווט. 13/01/2026. תיקנתי את הכותרת. הנרקיסים כבר לא, עכשיו זה הרקפות.",https://www.groopy.co.il/files/maslul/2809gps.gpx,gpx/2809.gpx,ברקאי
2808,https://www.groopy.co.il/trackinfo.aspx?pid=2808,מסלול רכיבת אופניים | נחשונים אלכסנדרוני צרטה תנשמת שוהם,נחשונים אלכסנדרוני צרטה תנשמת שוהם,02/12/2025,השפלה,XC,"24 ק""מ",2.0 שעות,380 מטר,380 מטר,למתקדמים,קל,לא,כן,לא,לא,חניון נחשונים מול אולם השמחות,,,,"מסלול טיול כמעט לכל אתרי הפריחה-עכשיו זה נרקיסים-בין נחשונים לשוהם. יש לכם הקלטה טובה של קובץ המסלול. יש גם גלריה וסיפור דרך(אבל זה רק סיפור). אז רק תאור קצר מאד וכמה הערות והדגשים. מסלול קצר, רק 24קמ ומאידך הרבה עליות(ביחס לקצר),380 מ' הגירסה המחמירה, אני הרגשתי יותר. דרגת הקושי, למתקדמים, זה לי, בגילי עם אופניים רגילות(החשמלים שלא יתיחסו אלי בכלל). כמעט כל השבילים הם כבישי אספלט ישנים/דרכי כורכר טובים/שבילי אופניים אספלט. נחשונים, טיפוס קצר שמאלה, יער אלעד/נחשונים, על כביש/כורכר וחזרה שמאלה על סינגל קצר, לראות את הפריחה, היום זה נרקיסים והתחלת הרקפות. אלעד, טיפוס/עליה מתונה ארוכה יער קולה, אל אלכסנדרוני. חצית כביש 465, עליות קשות(לי),מתחת ל6, בריכת צרטה(ברקת), אזור תעשיה שוהם, טיפוס אל חורבת תנשמת(למה?). קטע קצר על שביל ישראל, מתחת ל444, שביל אופניים אל שוהם. הפסקה ארוכה בקפה דני, המאפים נהדרים. חזרה קלילה דרך ברקת וגבעת כח.",https://www.groopy.co.il/files/maslul/2808gps.gpx,gpx/2808.gpx,ברקאי
