pid,url,pageTitle,trackName,openDate,area,rideType,length,hoursNet,climb,descent,difficulty,technicalDifficulty,singleTrack,circular,beginners,fullMoonOk,startPoint,milestones,attraction,season,descriptionText,gpxUrl,gpxLocalPath,openerName
2750,https://www.groopy.co.il/trackinfo.aspx?pid=2750,מסלול רכיבת אופניים | נחל כזיב,נחל כזיב,08/12/2024,גליל מערבי,XC,"42 ק""מ",5.0 שעות,520 מטר,520 מטר,למתקדמים,בינוני,לא,כן,לא,לא,גשר הזיו,"מנות
מצפה הילה \מעיליא 
טהנוף ממרפסת הירידה לנחל כזיב",מרפסות נוף,כל השנה אבל לא אחרי גשם כי יש מקום עם בוץ,רכיבה עליה וירידה לתוך הנחל המגניב העליה לא קלה אבל להנות מהדרך https://israelhiking.osm.org.il/share/z9fY6xi52n,https://www.groopy.co.il/files/maslul/2750gps.gpx,gpx/2750.gpx,yp68
2749,https://www.groopy.co.il/trackinfo.aspx?pid=2749,מסלול רכיבת אופניים | שקנאים בויקר,שקנאים בויקר,04/12/2024,השרון,XC,"30 ק""מ",3.0 שעות,200 מטר,200 מטר,קל,,לא,כן,לא,לא,צומת העוגן תחנת הדלק ומתחם הקניות,,,,"השקנאים ואווזי הבר עכשיו שם, אז ממש כדאי. ולא!!! אחרי גשם, הרבה שבילי עפר. יש קובץ ניווט, הקלטה של המסלול. אז רק בקצרה. שביל אופניים חדש אל העוגן(לצד הכביש), מגמת מזרחה עד מצפור ויקר. המשך מגמה מזרחה על שבילים טובים, שמאלה על האדום ושוב מזרחה. פינת מנוחה נהדרת של ילדי גן יאשיה. המשך על השביל כמעט עד הכביש וחזרה אל גן יאשיה. מבצר קאקון וההיסטוריה. הטלויזיה.ועל אלכסנדר. אגמון חפר, חזרה ברכבים.",https://www.groopy.co.il/files/maslul/2749gps.gpx,gpx/2749.gpx,ברקאי
2748,https://www.groopy.co.il/trackinfo.aspx?pid=2748,מסלול רכיבת אופניים | עמק מעיינות מורחב עם נוף לירדן,עמק מעיינות מורחב עם נוף לירדן,10/11/2024,גליל תחתון והעמקים,XC,"55 ק""מ",4.0 שעות,350 מטר,350 מטר,בינוני,קל,לא,כן,לא,כן,חניית נחל הקיבוצים מאחורי ניר דוד,מצפר מצפורים,בריכות ציפורים כפר רופין - הכל מקומות נסתרים מאחורי הקיבוץ,כל השנה,רכיבת נעימה לאורך נחל חרוד אבל ממשיכים דרום מזרח עד ירדן וחוזרים חזרה ליד טירת צבי,https://www.groopy.co.il/files/maslul/2748gps.gpx,gpx/2748.gpx,yp68
2747,https://www.groopy.co.il/trackinfo.aspx?pid=2747,מסלול רכיבת אופניים | מולדת גן לאומי כוכב הירדן,מולדת גן לאומי כוכב הירדן,03/11/2024,גליל תחתון והעמקים,XC,"30 ק""מ",3.0 שעות,540 מטר,,בינוני,קל,לא,כן,לא,לא,שער מולדת לכוון אטייבה,"תצפית לעמק הירדן והגלעד, ביקור בקברי צדיקים-קברו של מאיר הר ציון",,,,https://www.groopy.co.il/files/maslul/2747gps.gpx,gpx/2747.gpx,משה10
2746,https://www.groopy.co.il/trackinfo.aspx?pid=2746,מסלול רכיבת אופניים | ים המלח אילת,ים המלח אילת,13/10/2024,מדבר יהודה ובקעת ים המלח,XC,"220 ק""מ",45.0 שעות,2800 מטר,,בינוני-קשה,בינוני,לא,לא,לא,כן,תחנת דלק נווה זוהר,,,כל השנה רק שלא יהיה חם,רכיבת על שבילים מנווה זוהר אל נאות הכיכר וככה הלאה מתגלגלים אל אילת ועוברים בישובים למילוי מים ואוכל,https://www.groopy.co.il/files/maslul/2746gps.gpx,gpx/2746.gpx,yp68
2745,https://www.groopy.co.il/trackinfo.aspx?pid=2745,מסלול רכיבת אופניים | חיפה עתלית הבונים נחשולים דור,חיפה עתלית הבונים נחשולים דור,06/10/2024,מישור החוף,XC,"55 ק""מ",4.0 שעות,200 מטר,200 מטר,בינוני,בינוני,לא,כן,לא,כן,קניון חיפה צומת מתמ,"מוזירון המזגגה 
אונייה טרופה מחודשת
טיילת הבונים",איזור הצניחה בבונים,כל השנה רק לא אחרי גשם ואו בוץ,רכיבה לאורך שבילים לבנים כל הדרך,https://www.groopy.co.il/files/maslul/2745gps.gpx,gpx/2745.gpx,yp68
2744,https://www.groopy.co.il/trackinfo.aspx?pid=2744,מסלול רכיבת אופניים | סובב לכיש עם הרבה נופים,סובב לכיש עם הרבה נופים,29/09/2024,השפלה,XC,"38 ק""מ",5.0 שעות,600 מטר,600 מטר,בינוני,בינוני,לא,כן,לא,לא,מושב שקף,תל לכיש,,כל השנה למעט שלא יהיה בוץ,רכיבה בשטחים באיזור לכיש,https://www.groopy.co.il/files/maslul/2744gps.gpx,gpx/2744.gpx,yp68
2743,https://www.groopy.co.il/trackinfo.aspx?pid=2743,מסלול רכיבת אופניים | העוטף הדרומי עם מעבר בנובה,העוטף הדרומי עם מעבר בנובה,29/09/2024,הנגב הצפוני והמערבי,XC,"59 ק""מ",5.0 שעות,400 מטר,400 מטר,בינוני,בינוני,לא,לא,לא,לא,חנייה קיבוץ אורים,הנובה,סינגלים בוהו שוקדה כיסופים,כל השנה לא שחם ורצוי ללא בוץ,מקיבוץ אורים נצא אל המרחבים והשטחים נגיע לסינגל בוהו משהו לסינגל שוקדה מי שלא רוצה יש שביל רכב ליד משם נקפוץ לבארי למילוי מים בשטח מבארי אל איזור מתחם הנובה וחניון רעים כל הדרך דורמה על שביל לבן נרכוב עד סינגל כיסופים נתחיל מי שרוצה יכול לוותר ומי שרוצה יהנה עליות ירידות עבודה בסינגל משם נוכל להגיע ליער מגן ומשם בדרכים אל דרך הבשור וחזרה לאורים,https://www.groopy.co.il/files/maslul/2743gps.gpx,gpx/2743.gpx,yp68
2742,https://www.groopy.co.il/trackinfo.aspx?pid=2742,מסלול רכיבת אופניים | סיבוב לילה בעמק יזראעל אל חניון הבונקרים,סיבוב לילה בעמק יזראעל אל חניון הבונקרים,24/09/2024,גליל תחתון והעמקים,XC,"39 ק""מ",3.0 שעות,150 מטר,,בינוני,בינוני,לא,כן,לא,כן,חניית מעין אלרואי מול הפאמפטרק,"מעין אלרואי 
בונקרים",,כל השנה,רכיבה בשבילים לבנים ואו מעט קטע כביש רכיבה על שבילים מול ועם ירח מלא וחיות בר,https://www.groopy.co.il/files/maslul/2742gps.gpx,gpx/2742.gpx,yp68
2741,https://www.groopy.co.il/trackinfo.aspx?pid=2741,מסלול רכיבת אופניים | עמק מעיינות עם מים תמרים דגים וציפורים ונוף על הירדן,עמק מעיינות עם מים תמרים דגים וציפורים ונוף על הירדן,15/09/2024,גליל תחתון והעמקים,XC,"50 ק""מ",5.0 שעות,350 מטר,350 מטר,למתקדמים,קל,לא,כן,לא,כן,מתחילים בחניה תחנת הדלק ליד הסחנה,"גשר הקנטרה והמפל
מעיין עמל
טיילת מעל הירדן ומול ירדן",הכל זה אטרקציה,כל השנה רק לא אחרי גשם,מתחילים מאחורי הסחנה עוברים את הכביש וישר לתל זוהרה משם עוברים את גשר הקנטרה יורדים למטה למפל משם ממשיכים אל מעיין עמל ומשם אל גשר קניון הבזלת ממשיכים אל נוה איתן בשביל אופניים אל כפר רופין לטיילת נהדרת מעל הירדן ומול ירדן משם נחזור חזרה אל בית קרבות נמלא מים ונגיע אל מעיין המסיל הקטן משם נמשיך לעין הנציב - ביוםרגיל ניכנס מראש לעין יהודה או בשבת נמשיך לעין מודע ומשם לעין שוקק ולרכבים מסלול לא קשה - נופים נהדרים אפשר להוריד אתהמסלול מפה עמק מעיינות 51 קמ | Ride | Strava,https://www.groopy.co.il/files/maslul/2741gps.gpx,gpx/2741.gpx,yp68
2740,https://www.groopy.co.il/trackinfo.aspx?pid=2740,מסלול רכיבת אופניים | מסלול בייקפאקינג משמר העמק עמק מעיינות וחזרה,מסלול בייקפאקינג משמר העמק עמק מעיינות וחזרה,01/09/2024,גליל תחתון והעמקים,XC,"95 ק""מ",14.0 שעות,1000 מטר,1000 מטר,למתקדמים,בינוני,לא,כן,לא,כן,יציאה חנות טרק משמר העמק,"עליה לגלבוע מצפור ויניה 
הגן היפני בבית אלפא מקסים
דוידקה בבית אלפא 
כל מעיינות בעמק",על מעיינות בדרכים,כל השנה רק רצוי שלא יהיה בוץ,יציאה ממשמר העמק רוכבים נהנים מהשטחים בטבע עולים לגלבוע יורדים לבית אלפא מי שרוצה יכול לישון שם ומי שרוצה יכול לישון בגשר הקנטרא למחרת רוכבים לאורך נחל חרוד עד עפולה משם לכיון היוגב ומשם למשמר העמק אטרקציות מומלצות עין שוקק חובה לטבול בערב או בבוקר מים חמים עין גדעונה ועין יזרעאל מומלץ להירטב אפשר להוריד מסלולים מהסטרבה בייקפאקינג יום ראשון 45 קמ 570 מטר עליות | Ride | Strava בייקפאקינג יום השני 52 קמ של כייףףףף | Ride | Strava,https://www.groopy.co.il/files/maslul/2740gps.gpx,gpx/2740.gpx,yp68
2739,https://www.groopy.co.il/trackinfo.aspx?pid=2739,מסלול רכיבת אופניים | משמר איילון מבוא חורון,משמר איילון מבוא חורון,24/08/2024,ירושלים והסביבה,XC,"35 ק""מ",2.0 שעות,,,קל,קל,לא,כן,לא,לא,משמר איילון,,,,,https://www.groopy.co.il/files/maslul/2739gps.gpx,gpx/2739.gpx,מיטרני
2738,https://www.groopy.co.il/trackinfo.aspx?pid=2738,מסלול רכיבת אופניים | תל אביב בנימינה,תל אביב בנימינה,31/07/2024,השרון,XC,"72 ק""מ",6.0 שעות,460 מטר,,בינוני,קל,לא,לא,לא,כן,תחנת רכבת אוניברסיטה תל אביב,"אתרים על החוף
מקלחות בחוף להירטב בימים חמים",הפסלים לפני שפיים,"כל השנה 
ובמיחד בלילה",רוכבים לאורך הירקון עד רידינג משם לאורך החוף הרצליה נתניה חדרה קיסריה אור עקיבא בנימינה,https://www.groopy.co.il/files/maslul/2738gps.gpx,gpx/2738.gpx,yp68
